alpha,learning_rate,max_depth,min_split_loss,n_estimators,mean_test_score,mean_train_score
0,0.01,30,10,30,-0.9647062064556524,-0.8674521277595822
0,0.01,30,10,50,-0.8026559156603963,-0.6805690110061968
0,0.01,30,10,70,-0.6916878017610794,-0.5513466287135085
0,0.01,30,10,100,-0.5881464375596502,-0.4257801301589442
0,0.01,50,0,10,-1.2102931548609548,-1.1102918302002176
0,0.01,50,0,30,-0.9760535991988621,-0.7807150927663195
0,0.01,50,0,50,-0.8174630682184297,-0.5520831763617411
0,0.01,50,0,70,-0.7104081151431408,-0.3922791532292281
0,0.01,50,0,100,-0.6130032403997266,-0.23737745515673775
0,0.01,50,1,10,-1.2039065774727455,-1.1175795044137804
0,0.01,50,1,30,-0.958222804321365,-0.8012900618318325
0,0.01,50,1,50,-0.7934755146865073,-0.5838171521858275
0,0.01,50,1,70,-0.6810526436463844,-0.4336088635054266
0,0.01,50,1,100,-0.5765466451068461,-0.2904998672022586
0,0.01,50,5,10,-1.2055938713297136,-1.1337424769527857
0,0.01,50,5,30,-0.9619565146723742,-0.8440509567268497
0,0.01,50,5,50,-0.795936864451131,-0.646647922412573
0,0.01,50,5,70,-0.6840482519619124,-0.5113886218724554
0,0.01,50,5,100,-0.5786482490469629,-0.3819494407953568
0,0.01,50,10,10,-1.209047888446742,-1.142757559006823
0,0.01,50,10,30,-0.9647062064556524,-0.8674521277595822
0,0.01,50,10,50,-0.8026559156603963,-0.6805690110061968
0,0.01,50,10,70,-0.6916878017610794,-0.5513466287135085
0,0.01,50,10,100,-0.5881464375596502,-0.4257801301589442
0,0.1,3,0,10,-0.6973339919497537,-0.6328404319157372
0,0.1,3,0,30,-0.503719366453578,-0.3680208887802367
0,0.1,3,0,50,-0.45510456439237357,-0.30392927336696407
0,0.1,3,0,70,-0.4298111220899664,-0.27640124056001236
0,0.1,3,0,100,-0.40949583811001294,-0.2533726201687523
0,0.1,3,1,10,-0.6973339919497537,-0.6328404319157372
0,0.1,3,1,30,-0.503719366453578,-0.3680208887802367
0,0.1,3,1,50,-0.4547358180929616,-0.3039108677437987
0,0.1,3,1,70,-0.43103665574187844,-0.27687579050041033
0,0.1,3,1,100,-0.41376589171995537,-0.25353758186035436
0,0.1,3,5,10,-0.6973339919497537,-0.6328404319157372
0,0.1,3,5,30,-0.5033803877136762,-0.3680698246243038
0,0.1,3,5,50,-0.4508476638949633,-0.30463326541455193
0,0.1,3,5,70,-0.4266823100384012,-0.2776053185016758
0,0.1,3,5,100,-0.4157907711693632,-0.2668255940904821
0,0.1,3,10,10,-0.6973339919497537,-0.6328404319157372
0,0.1,3,10,30,-0.5040826607349903,-0.3684870888567991
0,0.1,3,10,50,-0.45355560063427636,-0.3044849305390142
0,0.1,3,10,70,-0.432301559231946,-0.28513389960182495
0,0.1,3,10,100,-0.43230109913148296,-0.28513393104733264
0,0.1,5,0,10,-0.6390391133270772,-0.5100627541146683
0,0.1,5,0,30,-0.4526227702393001,-0.2695437268963472
0,0.1,5,0,50,-0.41373927318968073,-0.2159553885553202
0,0.1,5,0,70,-0.40398568752006403,-0.1923861607178115
0,0.1,5,0,100,-0.40162790086464595,-0.17020843777529326
0,0.1,5,1,10,-0.6390353208350132,-0.5100632817307422
0,0.1,5,1,30,-0.45699090084843136,-0.26742168714857106
0,0.1,5,1,50,-0.41940397019947745,-0.2164101237484442
0,0.1,5,1,70,-0.4158338415576496,-0.19451420906502576
0,0.1,5,1,100,-0.4154579436813103,-0.18000787477315885
0,0.1,5,5,10,-0.6394027913613216,-0.5102678626687581
0,0.1,5,5,30,-0.454876784361592,-0.2728047350171464
0,0.1,5,5,50,-0.4102343911860288,-0.22855034679269473
